Time,92W,92X,92Y,92Z
0.,2062,2157,1731,13
0.015,2064,2157,1735,13
0.028,2077,2148,1782,13
0.029,2105,2163,1800,13
0.047,2099,2165,1776,13
0.059,2092,2160,1739,13
0.097,2112,2163,1772,13
0.097,2138,2155,1775,13
0.113,2145,2148,1730,13
0.128,2087,2151,1687,13
0.138,2106,2151,1753,13
0.158,2141,2159,1793,13
0.158,2156,2178,1783,13
0.194,2104,2187,1763,13
0.194,2126,2181,1791,13
0.209,2147,2176,1798,13
0.230,2105,2181,1766,13
0.243,2086,2179,1769,13
0.264,2092,2172,1815,13
0.280,2095,2167,1818,13
0.300,2071,2159,1783,13
0.300,2086,2167,1787,13
0.315,2111,2173,1796,13
0.336,2122,2164,1789,13
0.353,2086,2155,1841,13
0.372,2099,2169,1812,13
0.390,2109,2181,1794,13
0.411,2127,2158,1836,13
0.429,2091,2129,1815,13
0.446,2037,2116,1752,13
0.446,2080,2157,1712,13
0.498,2079,2151,1767,13
0.498,2066,2145,1811,13
0.500,2073,2160,1802,13
0.507,2080,2146,1810,13
0.526,2085,2125,1780,13
0.542,2067,2141,1749,13
0.561,2099,2170,1769,13
0.576,2060,2160,1866,13
0.578,2008,2149,1892,14
0.597,1993,2167,1749,13
0.613,2103,2202,1725,13
0.631,2099,2175,1838,13
0.650,2067,2153,1890,13
0.670,1996,2143,1798,13
0.686,2057,2180,1723,13
0.701,2092,2170,1765,13
0.722,2041,2132,1829,13
0.722,1965,2133,1815,13
0.740,2054,2165,1719,13
0.761,2047,2134,1704,13
0.780,2075,2152,1775,13
0.789,2079,2164,1822,13
0.809,2047,2155,1848,13
0.828,2063,2145,1784,13
0.843,1979,2147,1726,13
0.860,2040,2149,1758,13
0.860,2125,2159,1804,13
0.871,2084,2135,1811,13
0.887,2101,2136,1785,13
0.908,2056,2156,1744,13
0.926,1975,2116,1752,13
0.941,2068,2088,1692,13
0.959,2112,2099,1656,13
0.977,2159,2139,1762,13
0.990,2059,2113,1884,13
0.992,2078,2107,1836,13
1.012,2067,2106,1695,13
1.029,2052,2110,1665,13
1.064,2080,2090,1800,13
1.065,2089,2114,1790,13
1.079,2047,2117,1774,13
1.100,1990,2095,1763,13
1.117,2022,2071,1746,13
1.135,2099,2066,1739,13
1.136,2078,2095,1707,13
1.153,2041,2086,1776,13
1.166,2046,2111,1767,13
1.184,2130,2110,1765,13
1.203,2104,2097,1782,13
1.213,2012,2058,1720,13
1.225,2008,2075,1630,13
1.240,2081,2081,1671,12
1.256,2176,2071,1806,13
1.257,2096,2093,1881,14
1.267,1991,2113,1708,13
1.286,2034,2075,1686,13
1.301,2138,2044,1704,12
1.320,2170,2067,1774,13
1.336,2119,2113,1841,14
1.356,2087,2087,1776,13
1.371,2062,2062,1694,13
1.386,2095,2068,1640,12
1.387,2101,2076,1683,12
1.406,2055,2068,1801,13
1.417,2081,2052,1751,13
1.435,2056,2111,1628,13
1.456,2056,2103,1748,12
1.473,2103,2106,1837,13
1.487,2103,2091,1827,14
1.506,2074,2051,1710,13
1.521,2034,2044,1604,13
1.522,2122,2060,1625,12
1.543,2050,2048,1795,13
1.558,2043,2092,1878,14
1.569,2125,2100,1783,14
1.586,2094,2077,1668,13
1.603,2010,2065,1637,12
1.633,2037,2061,1716,12
1.634,2080,2091,1760,13
1.647,2150,2159,1800,13
1.647,2052,2098,1725,13
1.664,2022,2104,1724,12
1.681,2075,2109,1723,13
1.699,2070,2109,1843,14
1.718,2057,2102,1803,14
1.733,2103,2109,1726,13
1.748,2144,2105,1769,13
1.765,2035,2077,1801,13
1.782,2024,2055,1768,13
1.782,2056,2085,1661,13
1.797,2112,2083,1719,13
1.817,2056,2061,1787,13
1.835,2026,2023,1749,13
1.846,2079,2027,1647,13
1.866,2134,2031,1641,13
1.879,2090,2012,1683,13
1.896,2084,2003,1693,12
1.916,2116,2025,1721,13
1.917,2128,2032,1770,13
1.931,2131,2017,1648,13
1.946,2150,2026,1621,12
1.960,2140,2024,1687,12
1.978,2126,2004,1716,12
2.006,2118,2011,1689,13
2.006,2147,2013,1709,13
2.018,2213,2001,1658,12
2.035,2211,2004,1724,12
2.035,2211,2017,1869,13
2.053,2223,2016,1751,13
2.072,2154,2026,1616,13
2.093,2106,1997,1732,13
2.109,2132,2026,1757,13
2.125,2176,2018,1782,13
2.142,2177,2018,1729,13
2.159,2151,2034,1697,13
2.172,2170,2031,1810,13
2.172,2220,2022,1834,13
2.190,2168,2020,1689,13
2.210,2123,2029,1620,13
2.225,2186,2043,1698,13
2.239,2225,2047,1863,13
2.257,2180,2047,1982,13
2.272,2148,2043,1921,14
2.287,2140,2006,1781,14
2.304,2173,1983,1609,13
2.304,2200,2042,1404,12
2.322,2125,2013,1660,12
2.338,2104,2021,1923,13
2.349,2114,2075,1940,14
2.369,2180,2098,1794,13
2.388,2262,2078,1659,13
2.403,2177,2070,1649,13
2.412,2070,2080,1833,13
2.428,2063,2108,1928,13
2.429,2137,2125,1808,13
2.441,2155,2115,1748,13
2.455,2181,2130,1764,13
2.473,2161,2128,1845,13
2.493,2122,2098,1888,14
2.509,2093,2121,1782,13
2.525,2108,2149,1726,13
2.537,2120,2138,1807,13
2.554,2132,2129,1929,13
2.554,2124,2147,1823,14
2.574,2155,2176,1772,13
2.592,2163,2145,1840,13
2.611,2120,2143,1839,13
2.630,2132,2147,1791,13
2.663,2127,2127,1773,13
2.663,2094,2113,1779,13
