Time,92W,92X,92Y,92Z
0.927,2029,2025,1824,13
1.360,2022,2019,1823,14
1.386,2016,2011,1795,14
1.399,2031,2020,1787,13
1.653,2048,2008,1744,13
2.037,2040,2011,1706,13
2.419,2014,2004,1807,13
2.913,1987,2011,1792,14
3.268,1981,2010,1753,13
3.697,2032,2004,1697,13
4.136,1994,1998,1723,13
4.558,1995,2002,1840,13
4.570,2016,2018,1783,13
4.984,2024,2003,1759,13
5.385,2004,2006,1739,13
5.849,1986,1991,1744,13
6.267,2019,1985,1740,13
6.691,2048,1975,1697,13
7.119,2047,1980,1704,13
7.561,2047,1979,1706,13
7.976,2108,2003,1797,13
8.007,2117,1974,1765,13
8.445,2108,1973,1677,13
8.870,2074,1966,1664,13
9.307,2036,1959,1683,12
9.787,2049,1944,1733,13
10.213,2092,1939,1696,13
10.645,2128,1933,1562,12
11.590,2064,1952,1615,12
11.595,2014,1961,1795,12
12.002,2033,1991,1847,13
12.998,2080,1994,1823,13
12.433,2111,1976,1732,13
13.189,2102,1988,1712,13
13.197,2097,1978,1732,13
13.643,2050,1953,1809,13
14.079,2142,1896,1763,13
14.527,2108,1921,1546,13
14.854,2238,2051,1750,12
15.313,2126,1964,1808,13
15.323,2080,1930,1781,13
15.768,2038,1949,1719,13
16.250,2108,1929,1729,13
16.689,2203,1937,1715,13
17.116,2239,1948,1674,13
17.551,2180,1957,1744,13
17.904,2064,1958,1774,13
18.407,2228,1994,1817,13
18.419,2279,1979,1728,13
18.761,2305,2050,1743,13
19.232,2151,2032,1880,13
19.671,1986,1982,1942,14
20.154,2064,2007,1833,14
20.566,2318,2048,1695,13
20.954,2336,2039,1695,13
21.394,2172,2012,1832,13
21.864,2077,2113,1859,13
21.869,1980,2059,1795,14
22.277,2138,2064,1766,13
22.680,2300,2092,1733,13
23.145,2193,2103,1826,13
23.613,2063,2116,1891,14
24.153,2097,2143,1872,14
24.992,2078,2115,1845,14
25.994,2130,2114,1790,13
25.005,2197,2132,1763,13
25.442,2123,2132,1815,13
25.857,2113,2140,1887,14
26.296,2095,2126,1877,14
27.107,2086,2148,1743,13
27.117,2176,2141,1798,13
27.711,2176,2140,1845,14
27.960,2048,2144,1871,14
28.557,1995,2148,1855,14
28.608,2166,2171,1882,14
28.811,2144,2161,1872,14
29.985,2078,2179,1836,14
29.993,2096,2207,1868,14
30.023,2063,2192,1916,14
30.400,2085,2189,1926,14
31.044,2052,2171,1879,14
31.103,2035,2182,1783,14
31.631,2086,2160,1783,14
31.683,2146,2180,1872,14
31.850,1931,2140,1927,14
32.287,1887,2150,1864,14
32.595,1995,2145,1760,13
32.984,2192,2200,1701,13
33.426,2207,2185,1890,14
33.769,2087,2144,2023,14
34.207,1929,2146,1891,14
34.674,1942,2217,1800,14
34.689,2006,2196,1854,14
35.021,2068,2142,1924,14
35.438,2076,2113,1834,14
35.806,1987,2171,1744,13
36.135,1912,2181,1803,14
36.580,1904,2138,1905,14
36.975,1974,2117,1927,14
37.337,2000,2141,1798,14
37.690,1988,2168,1778,13
37.705,1997,2151,1877,14
38.174,1917,2106,1945,14
38.643,1859,2120,1861,14
39.136,1917,2149,1735,13
39.616,1939,2127,1789,13
40.053,2001,2099,1903,14
40.463,1947,2085,1877,14
40.913,1918,2085,1783,14
41.384,1924,2079,1770,13
41.389,1974,2111,1828,13
41.715,1921,2095,1893,14
42.146,1893,2101,1840,14
42.663,1979,2103,1789,14
43.019,1998,2097,1765,13
43.414,1934,2085,1837,13
43.866,1871,2094,1840,14
44.310,1941,2104,1736,14
44.743,1980,2046,1758,13
44.755,1891,2047,1776,13
45.189,1964,2123,1760,13
45.574,2139,2108,1861,13
46.007,2002,2029,1845,14
46.456,1830,2045,1592,13
46.883,1887,2098,1548,12
47.295,2108,2063,1888,13
47.735,2162,2017,1905,13
48.174,1940,2078,1613,13
48.212,1851,2106,1547,13
48.627,2006,2066,1659,12
49.084,2037,2024,1766,12
49.438,1961,2062,1613,12
49.903,1967,2066,1615,13
50.348,2019,2058,1686,13
50.794,1991,2034,1684,12
51.245,1964,2048,1662,12
51.687,2078,2091,1721,13
51.701,2075,2095,1803,14
52.067,1993,2051,1752,13
52.493,2046,2031,1577,12
52.932,2007,2094,1667,12
53.346,2090,2074,1938,13
53.795,2140,2050,1944,14
54.240,2068,2049,1691,14
54.674,1981,2079,1591,13
55.120,2111,2095,1909,13
55.444,2133,2051,1859,13
55.834,2136,2032,1707,14
55.851,2053,2050,1598,13
56.312,2005,2045,1650,12
56.740,2043,2047,1751,12
57.188,2127,2039,1776,13
57.647,2115,2017,1740,14
57.998,2039,2011,1680,13
58.460,2130,2128,1718,12
58.466,2038,2034,1755,12
58.923,2127,2049,1848,13
59.410,2064,2061,1867,14
59.855,1991,2032,1811,14
60.368,2031,2008,1652,13
60.793,2072,2003,1642,12
61.369,2141,2010,1779,13
61.627,2142,2032,1883,14
62.492,2104,2102,1869,13
62.513,1875,1992,1669,13
62.526,2034,2026,1667,13
63.873,2163,2030,1797,13
64.293,2116,2034,1862,14
64.327,1986,2023,1713,13
64.352,2004,2003,1677,13
64.665,2092,2010,1758,13
65.090,2111,2016,1820,13
65.515,2153,2058,1834,14
65.856,2109,2026,1713,13
65.893,2072,2019,1729,13
66.155,2043,2014,1807,13
66.637,2089,2023,1749,13
67.034,2102,2045,1732,13
67.498,2100,2026,1796,13
67.807,2100,2015,1782,13
68.251,2059,2021,1766,13
