Time,92W,92X,92Y,92Z
0.241,2088,2065,1756,13
0.478,2050,2072,1802,13
0.479,2048,2090,1828,13
0.704,2070,2095,1816,14
0.948,2087,2079,1787,13
1.193,2095,2070,1777,13
1.411,2108,2059,1797,13
1.628,2070,2080,1784,13
1.834,2054,2068,1835,14
2.083,2057,2068,1828,14
2.327,2104,2050,1790,13
2.330,2109,2063,1757,13
2.518,2081,2064,1780,13
2.805,2051,2060,1851,14
3.045,2048,2051,1867,14
3.300,2057,2045,1794,13
3.556,2056,2059,1731,13
3.803,2049,2058,1791,13
4.039,2027,2043,1866,14
4.341,2032,2058,1812,14
4.352,2045,2066,1781,13
4.544,2051,2051,1798,13
4.801,2070,2046,1819,13
5.039,2026,2040,1799,14
5.282,1995,2052,1759,14
5.495,2025,2043,1781,13
5.750,2018,2049,1753,13
6.007,2031,2030,1824,13
6.251,1997,2040,1839,14
6.255,1971,2100,1727,13
6.473,1968,2064,1730,13
6.738,2017,2038,1658,12
6.959,2008,1999,1667,13
7.196,2040,2029,1686,13
7.442,2084,2047,1762,13
7.694,2089,2045,1771,13
7.930,2097,2027,1687,12
8.170,2080,2035,1648,12
8.180,1995,2055,1722,13
8.434,2068,2072,1809,14
8.651,2104,2073,1843,13
8.866,2120,2051,1719,12
8.985,2092,2039,1593,12
9.194,2050,2028,1756,13
9.396,2083,2048,1754,13
9.608,2111,2075,1798,13
9.849,2086,2093,1807,12
9.855,2087,2061,1783,13
10.112,2079,2049,1754,14
10.325,2052,2059,1655,13
10.620,2089,2064,1729,13
10.775,2068,2094,1780,12
10.996,2114,2048,1819,13
11.230,2112,2050,1775,14
11.469,2050,2045,1647,13
11.708,2128,2102,1721,13
11.717,2078,2073,1674,12
11.899,2128,2096,1855,13
12.143,2068,2097,1950,14
12.344,2023,2062,1769,14
12.547,2018,2059,1612,13
12.755,2043,2063,1675,12
12.946,2072,2080,1848,13
13.147,1999,2064,1932,14
13.371,2010,2189,1827,14
13.391,1959,2075,1710,13
13.578,1967,2079,1773,13
13.806,1977,2057,1820,13
13.991,1959,2034,1747,13
14.165,2034,2024,1645,13
14.348,2140,2053,1708,13
14.565,2072,2066,1740,13
14.758,1988,2039,1748,13
14.971,2055,2063,1726,13
15.016,2068,2033,1628,13
15.270,2112,2036,1703,13
15.457,2065,2031,1744,12
15.732,1995,2015,1763,13
15.983,2047,2032,1711,13
16.217,2128,2026,1692,13
16.709,2123,1999,1770,13
16.724,2049,1979,1657,12
16.737,2135,2050,1627,12
16.972,2130,2021,1750,13
17.236,2051,2019,1814,13
17.516,2031,2029,1794,13
17.782,2057,2011,1688,13
17.989,2062,2014,1631,12
18.233,2096,2012,1699,13
18.485,2060,2016,1696,13
18.731,2077,2022,1750,13
18.994,2082,2044,1808,13
19.003,2080,2036,1775,13
19.252,2116,2028,1745,13
19.499,2077,2030,1664,13
19.737,2064,2027,1703,13
19.998,2061,2033,1753,13
20.235,2095,2027,1822,13
20.493,2140,2048,1841,13
20.734,2100,2027,1800,13
20.988,2048,2025,1684,13
21.210,2164,2022,1608,12
21.218,2200,2030,1650,12
21.454,2160,2047,1769,13
21.690,2069,2062,1813,13
21.925,2029,2079,1828,13
22.180,2102,2097,1781,13
22.428,2146,2082,1805,13
22.691,2151,2088,1788,13
22.691,2148,2128,1766,13
22.898,2084,2113,1833,13
23.125,2047,2112,1839,13
23.386,2144,2153,1791,13
23.596,2198,2150,1839,14
23.840,2110,2118,1852,14
24.104,2049,2112,1802,13
24.339,2115,2144,1753,13
24.588,2125,2123,1827,13
24.596,2113,2122,1878,14
24.808,2027,2139,1842,14
25.079,2070,2160,1866,14
25.334,2123,2164,1865,14
25.564,2151,2137,1806,14
25.794,2100,2124,1704,13
26.058,2080,2156,1716,13
26.281,2038,2168,1849,13
26.567,2005,2176,1961,14
26.582,2024,2182,1936,14
26.781,2024,2190,1833,14
27.019,2064,2194,1838,14
27.270,2068,2208,1865,14
27.504,2031,2208,1854,14
27.747,1960,2208,1907,14
27.972,1993,2198,1960,14
28.154,2038,2203,1915,14
28.424,2037,2193,1889,14
28.426,1988,2187,1887,14
28.672,1929,2161,1802,14
28.933,1910,2190,1770,14
29.198,2006,2215,1886,14
29.449,2010,2182,1920,14
29.720,1990,2144,1859,14
30.006,1944,2164,1789,14
30.124,1966,2181,1783,13
30.369,1960,2172,1870,14
30.381,1991,2168,1928,14
30.584,1981,2165,1865,14
30.827,2027,2176,1874,14
30.985,2069,2181,1919,14
31.182,1951,2141,1927,14
31.441,1859,2132,1815,14
31.684,1812,2125,1702,13
31.916,1822,2129,1709,13
32.100,1914,2135,1850,13
32.111,1976,2131,1956,14
32.355,1960,2111,1882,14
32.584,1917,2110,1718,13
32.823,1888,2101,1713,13
33.101,1902,2084,1788,13
33.325,1911,2055,1841,14
33.532,1954,2062,1776,13
33.768,1955,2065,1678,13
33.998,1932,2060,1763,13
34.999,1931,2050,1775,13
34.181,1948,2043,1756,13
34.378,1973,2062,1754,13
34.638,2055,2080,1807,13
34.892,2011,2048,1900,13
35.138,1974,2045,1836,13
35.439,2009,2061,1717,13
35.611,1961,2047,1692,13
35.836,1934,2024,1762,13
35.845,1928,2002,1784,13
36.127,1969,2032,1717,13
36.377,1943,2031,1688,13
36.627,1920,2006,1745,13
36.884,1883,1980,1709,13
37.137,1949,2011,1767,13
37.318,1925,2046,1797,13
37.515,1927,2027,1788,14
37.760,2003,2008,1770,13
37.767,1981,1998,1653,13
