Time,92W,92X,92Y,92Z
0.024,2001,2183,1703,12
0.051,2009,2169,1687,12
0.077,2008,2172,1687,12
0.079,2013,2188,1653,11
0.106,1998,2187,1655,11
0.124,2016,2175,1713,12
0.151,2048,2185,1736,12
0.168,2052,2194,1719,12
0.185,2052,2191,1704,12
0.216,2054,2189,1682,12
0.244,2082,2179,1707,12
0.270,2100,2184,1743,13
0.272,2096,2182,1707,12
0.299,2091,2165,1677,11
0.321,2085,2151,1727,12
0.363,2131,2173,1775,12
0.393,2137,2191,1728,13
0.416,2090,2165,1651,12
0.438,2048,2107,1656,11
0.471,2047,2155,1695,12
0.496,2131,2191,1764,12
0.498,2188,2127,1823,13
0.534,2168,2114,1818,13
0.561,2118,2168,1715,12
0.583,2140,2173,1723,12
0.607,2196,2136,1738,12
0.624,2105,2071,1774,13
0.655,1996,2128,1713,12
0.684,2049,2147,1669,12
0.730,2085,2118,1709,12
0.730,2061,2049,1792,12
0.730,1975,2066,1699,13
0.748,1979,2082,1648,12
0.780,2037,2088,1688,12
0.818,1943,2053,1666,12
0.832,1853,2044,1621,11
0.857,1867,2048,1599,12
0.889,1774,2033,1573,12
0.907,1685,2023,1503,11
0.910,1733,2051,1402,10
0.940,1815,2067,1474,11
0.979,1845,2064,1600,11
1.018,1836,2063,1633,11
1.056,1838,2080,1610,11
1.088,1805,2075,1576,11
1.119,1832,2074,1566,11
1.156,1853,2081,1624,12
1.160,1905,2085,1674,12
1.197,1940,2076,1702,11
1.232,1975,2080,1688,11
1.261,1968,2069,1671,12
1.300,1964,2072,1704,12
1.338,1966,2073,1759,12
1.374,1941,2061,1786,12
1.399,1962,2078,1775,12
1.434,1976,2079,1734,12
1.436,1936,2050,1766,13
1.476,1895,2037,1825,13
1.513,1864,2062,1854,13
1.553,1918,2076,1896,13
1.577,1999,2047,1914,13
1.612,2002,2035,1802,13
1.636,1863,2058,1703,13
1.674,1824,2040,1816,13
1.717,2042,2013,1893,13
1.717,2094,2031,1817,13
1.754,2038,2081,1712,13
1.792,2071,2065,1695,13
1.823,2011,2007,1600,12
1.863,1913,2104,1537,11
1.903,2176,2148,1606,12
1.940,2134,2102,1517,12
1.973,2100,2063,1486,11
2.009,2082,2122,1438,11
2.008,2100,2141,1465,11
2.051,2152,2113,1551,11
2.079,2124,2083,1562,11
2.118,2008,2133,1486,11
2.159,2050,2143,1476,11
2.195,2065,2120,1533,11
2.224,2074,2083,1627,11
2.260,2074,2079,1604,11
2.296,2048,2085,1557,11
2.297,2067,2083,1591,11
2.333,2008,2054,1627,11
2.363,2008,2053,1697,11
2.400,2022,2063,1719,12
2.435,1952,2054,1659,12
2.473,1903,2039,1596,12
2.509,1888,2053,1641,11
2.549,1905,2060,1711,11
2.588,1866,2073,1764,12
2.589,1835,2052,1747,12
2.614,1857,2059,1698,12
2.633,1899,2088,1635,12
2.662,1989,2078,1628,12
2.703,2054,2071,1659,12
2.737,1712,2019,1748,12
2.771,1844,2036,1741,12
2.817,2121,2073,1689,12
2.837,2088,2062,1661,12
2.838,1958,2059,1681,12
2.871,1751,2051,1754,12
2.909,1983,2084,1711,12
2.948,2109,2058,1621,11
2.986,2149,2071,1568,11
3.003,1969,2063,1596,12
3.018,1989,2033,1687,12
3.048,2193,2048,1717,12
3.070,2164,2068,1657,11
3.072,2031,2074,1587,11
3.103,2054,2055,1633,12
3.135,2125,2057,1688,12
3.156,2119,2064,1659,12
3.191,2081,2071,1592,11
3.228,2057,2060,1596,11
3.251,2072,2058,1647,12
3.281,2084,2062,1630,12
3.282,2059,2055,1597,12
3.315,2076,2066,1620,11
3.380,2048,2079,1647,11
3.382,2000,2088,1642,11
3.398,2026,2096,1594,12
3.423,1999,2086,1546,11
3.457,2021,2087,1513,11
3.489,1955,2103,1476,11
3.504,1916,2101,1503,11
3.506,1958,2110,1517,11
3.538,1958,2098,1501,11
3.569,1920,2088,1518,10
3.596,1939,2101,1524,11
3.615,1970,2091,1505,11
3.660,1964,2090,1579,11
3.663,1952,2096,1649,11
3.686,2019,2109,1654,11
3.729,2016,2103,1685,11
3.730,1977,2111,1687,11
3.782,1951,2131,1690,12
3.809,1984,2141,1704,12
3.822,1993,2122,1738,12
3.885,1964,2136,1740,12
3.895,1987,2143,1749,12
3.898,1998,2101,1799,13
3.924,1994,2102,1881,13
3.958,2011,2148,1877,12
3.958,2016,2150,1808,12
3.988,1971,2135,1724,12
4.015,1985,2127,1750,13
4.050,2099,2133,1863,13
4.091,2148,2136,1906,13
4.127,2136,2147,1847,12
4.156,2058,2166,1758,12
4.188,2022,2167,1702,13
4.230,2043,2156,1669,13
4.232,2093,2172,1595,12
4.246,2136,2169,1635,11
4.270,2208,2165,1723,12
4.304,2193,2175,1723,13
4.342,2136,2182,1612,12
4.378,2088,2177,1568,11
4.412,2179,2179,1617,11
4.449,2241,2184,1634,11
4.483,2196,2185,1574,12
4.485,2178,2185,1496,11
4.521,2098,2145,1501,11
4.557,2070,2159,1592,11
4.591,2145,2183,1600,11
4.622,2150,2163,1609,12
4.649,2096,2142,1623,12
4.681,2032,2150,1624,11
4.722,2027,2170,1665,11
4.761,2015,2151,1718,11
4.761,2006,2139,1687,12
4.793,1919,2154,1656,12
4.827,1918,2175,1656,12
4.866,1874,2163,1715,11
4.908,1806,2162,1783,12
4.944,1780,2184,1827,13
4.982,1868,2213,1830,13
5.019,1823,2189,1824,12
5.057,1776,2217,1839,12
5.059,1823,2213,1792,12
